,class,data_class,large_class,long_method,feature_envy,refused_bequest
class,net.sourceforge.ganttproject.task.TaskManagerImpl$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.time.gregorian.DayTextFormatter,0,0,0,0,0
class,net.sourceforge.ganttproject.PrjInfos,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskManagerImpl$Anonymous6,0,0,0,0,0
class,net.sourceforge.ganttproject.io.GanttXFIGSaver$TextObject,1,0,0,0,0
class,net.sourceforge.ganttproject.export.JDKFontLocator$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.util.BrowserControl,1,0,0,1,0
class,net.sourceforge.ganttproject.action.ResourceAction,0,0,0,0,0
class,net.sourceforge.ganttproject.export.ProjectExportData,1,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttURLChooser$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttURLChooser$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.document.HttpDocument,0,0,0,1,0
class,net.sourceforge.ganttproject.gui.UIConfiguration,0,0,0,1,0
class,net.sourceforge.ganttproject.parser.DependencyTagHandler,0,0,0,1,0
class,net.sourceforge.ganttproject.GanttGraphicArea$Notes,0,0,0,0,0
class,net.sourceforge.ganttproject.roles.RoleImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogPerson$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogPerson$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogPerson$Anonymous3,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogPerson$Anonymous4,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogPerson$Anonymous5,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.about.AboutLibraryPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.LanguageSettingsPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.time.TimeUnit,0,0,0,1,0
class,net.sourceforge.ganttproject.gui.TestGanttRolloverButton,0,0,0,0,0
